Insira o seu Prolific ID;hap_a;hap_p;dis_a;dis_p;sle_a;sle_p;sad_a;sad_p;sur_a;sur_p;exc_a;exc_p;bor_a;bor_p;fea_a;fea_p;cal_a;cal_p;ang_a;ang_p;age;Sex;age_c
581350dee620160001976f5d;1;3;0;-2;-3;0;-2;-3;3;-2;3;0;-3;-2;2;-1;-3;1;2;-3;26;1;1
59a0918cfc15d200014b9fe2;3;3;0;-2;-3;-1;-1;-3;2;0;3;2;-2;0;0;-3;0;1;3;-3;36;1;1
5c4785446d9ae80001a15823;1;0;0;1;-1;1;-1;-1;1;1;1;1;-1;-1;1;-1;-1;0;2;-1;40;1;1
5cb7c2702b3b0d0012de105c;3;3;-1;-1;3;0;-2;-3;3;0;3;2;-1;-2;2;-3;0;2;3;-2;28;1;1
5d824a9da4429a001abc27a3;0;3;2;-2;-3;0;-1;-3;3;1;3;0;-2;1;1;-1;-1;0;2;-2;24;1;1
5da903f3b5c28d0017745a1c;0;3;-2;-1;-3;0;-2;-3;2;3;3;0;-3;0;1;-1;0;0;1;-2;22;1;0
5e12048c7605fe8839180a14;2;2;0;0;-2;0;0;-3;3;3;3;2;-2;-1;-2;-1;0;1;-3;-3;19;1;0
5e72490845c9c4024095bf96;2;3;2;-2;-3;0;0;-2;3;2;3;0;-2;-2;1;-2;0;1;2;-2;22;1;0
5e7bcaa51027230e62883db4;3;3;1;-1;-3;0;-1;-2;3;1;3;1;-2;0;1;-1;0;0;2;-2;21;1;0
5e85df0cce98b301f727ce6b;0;1;0;-1;-2;-1;-2;-3;3;1;3;3;-1;-2;2;-1;1;-1;2;-2;19;1;0
5e8b4b875ac5d50009845a7b;2;2;-1;-1;-2;0;-1;-2;2;3;2;2;-2;0;3;0;0;1;3;0;24;1;1
5e92f26b444572122fdfe44d;2;3;2;-2;-3;0;2;-3;2;0;3;-2;-2;-1;1;-2;0;0;1;-2;34;1;1
5e9317f16914d115371902bd;2;3;0;0;-3;-1;0;-3;1;0;3;1;-2;-2;1;-2;0;0;1;-1;20;1;0
5ea043fbbfbe190687467966;3;3;-2;-1;-3;-1;-2;-3;3;0;3;3;-3;-3;1;-3;-2;2;3;-3;20;1;0
5ea6f7e729dc5208faedaa79;-1;0;-1;0;-1;0;-1;0;-1;0;-1;0;3;3;-3;-3;-1;0;-3;-3;20;1;0
5ede1c43d49b0302eb61961f;2;3;0;-1;-3;0;-1;-3;3;2;3;2;-2;0;0;-2;-1;0;0;-1;22;1;0
5eff9162a78aa106ea6a36ec;2;3;-2;0;-2;-1;-2;-3;2;3;3;3;-3;-2;-1;-3;0;1;-2;-3;20;1;0
5f03993af1a82a5c4988eabf;2;3;1;-2;-3;2;-1;-2;2;2;3;2;-2;0;2;-2;0;1;2;-2;22;1;0
5f16dd98d5816400089a1cb5;3;3;0;-2;-3;0;-1;-3;3;1;3;2;-3;-1;2;-2;-2;2;2;-2;52;1;1
5f32e2c95cf14509a4d8d36c;-1;0;-2;-2;1;2;-2;-3;3;2;2;2;-1;0;2;1;-2;1;2;-3;21;1;0
5f45394c3220880cc128c260;2;3;0;-1;-2;0;-2;-3;1;0;2;1;-2;-1;1;-1;0;0;1;-1;21;1;0
5f5f618ef08f64000825ec16;-1;0;-1;0;-1;-1;-1;-3;2;1;3;3;-3;-1;-3;-2;0;0;1;-1;25;1;1
5f609bca9d9f7b03d0c43aca;3;3;-1;-3;-3;0;-3;-3;3;3;3;3;-3;-3;-2;-3;0;0;0;-3;19;1;0
5f734c37b6925a0380400d3e;1;3;-1;-2;-3;0;0;-2;2;2;3;2;-3;0;0;-1;0;0;0;-1;20;1;0
5f78a0f7411cf20b2446116f;-1;1;-1;1;2;-1;0;1;0;-1;0;-1;1;-1;0;0;-2;1;0;0;20;1;0
5f8310cc97a96f4484b0dbdc;2;2;-1;-1;-3;0;-1;-1;2;3;3;2;-1;0;1;-2;0;0;2;-2;19;1;0
5f834396780d3e4a6b7fc9d0;0;3;-2;-2;-3;0;-1;-3;3;1;3;2;-3;-1;2;-2;-2;1;2;-2;18;1;0
