Prolific ID (24 tecken);hap_a;hap_p;dis_a;dis_p;sle_a;sle_p;sad_a;sad_p;sur_a;sur_p;exc_a;exc_p;bor_a;bor_p;fea_a;fea_p;cal_a;cal_p;ang_a;ang_p;age;Sex;age_c
572a4416d7299f000e7b58a0;3;3;-3;-3;-3;-3;-3;-3;3;3;3;3;-2;-2;0;-2;0;0;2;-3;41;0;1
5aeb049a9ed37a0001ddde1a;1;3;2;-2;-3;-1;1;-3;3;0;3;1;-2;-1;2;-2;-1;2;2;-3;31;0;1
5b69c0b801287900016c1656;2;3;1;-3;-3;-2;-2;-3;3;2;3;2;-3;-2;2;-2;0;1;2;-3;20;0;0
5c449a3175d0ee000197f2ce;2;3;1;-3;-3;-1;-2;-3;3;0;3;1;-1;-2;0;-3;0;3;3;-3;34;0;1
5c49a6cd6d9ae80001a1b8af;2;2;3;-1;-3;0;0;-1;2;1;3;2;-3;-3;3;-2;0;0;3;-1;67;0;1
5cdb0cc54b2d0a00155b3bdc;3;3;2;-3;-3;-2;-1;-3;3;2;3;3;-3;-3;2;-3;-1;3;3;-3;25;0;0
5d3f3192df3f2b001928ca9a;2;3;3;-3;-3;-3;-2;-3;3;2;3;2;-3;-3;3;-3;-1;1;3;-3;62;0;1
5d4167cbfe8b66001abc9ec9;0;1;1;-2;-3;-2;-3;-3;1;0;1;1;-1;-2;0;-2;-1;1;2;-1;26;0;0
5d7a42caf0a2960016536deb;1;3;0;-1;-3;-1;0;-2;2;2;3;2;-1;-2;0;0;-1;0;0;-1;37;0;1
5d7cd7c3f89db5001abc199b;-1;1;-3;-3;-3;0;0;-3;3;0;3;0;0;0;3;-3;0;0;3;-3;54;0;1
5d9771297f090e00148bba83;1;3;2;-3;-3;-2;0;-3;3;1;3;0;-1;-1;1;-3;0;1;2;-3;49;0;1
5dcab1a8470f6277e8ff1229;3;3;-2;-3;-2;0;-2;-2;0;0;3;3;-1;-1;-1;-2;1;3;-3;-3;29;0;1
5df54e31b1fb053ced3ae301;3;3;-1;-3;-3;-1;-1;-2;3;1;3;0;-3;-3;3;-2;-2;1;3;-3;19;0;0
5e174295859d52000b6d46df;3;3;3;-3;-3;-1;0;-3;3;0;3;0;-3;-2;3;-2;-3;1;3;-2;27;0;0
5e283a9405e719000ac026ec;3;3;-1;-3;-2;-2;-1;-1;1;0;1;1;-2;-2;1;-2;-1;1;2;-3;25;0;0
5e471ebaaeb5331f6ec57335;2;3;1;-3;-3;-3;-3;-3;2;2;3;0;-1;-1;1;-2;0;0;2;-3;29;0;1
5e4d84057e832505f46cc45b;1;1;2;1;2;0;-1;-1;2;1;3;0;-1;-3;2;-3;-1;2;2;-3;24;0;0
5e504c5a736edf0840c55846;3;3;0;-3;-3;-1;-2;-3;3;0;3;2;-3;-3;2;-3;-2;2;2;-3;28;0;0
5e6f88ac12fd1f000cdf2403;3;3;3;-1;-3;-1;0;-3;2;0;3;0;-3;-3;3;-3;-2;1;3;-3;27;0;0
5e7f42d70c58d9616cd42171;2;3;1;-3;-3;-1;0;-2;3;1;3;3;-2;-3;3;1;1;1;3;-3;32;0;1
5e8b080870750d7a760328be;2;3;2;-3;-3;0;-2;-3;3;1;3;0;-3;-1;3;-3;-1;2;1;-2;21;0;0
5ea96dffa01cad04cfea50c3;2;2;-1;-3;-3;1;-3;-3;2;1;3;0;-1;-1;-1;-1;0;2;2;-1;33;0;1
5ead7c4983d0054338fe507c;2;3;3;-3;-3;-1;-2;-2;3;1;3;-1;-3;-3;3;-1;-1;2;3;-3;25;0;0
