Id;age;sex;tiempo;fea_p;fea_a;sur_p;sur_a;dis_p;dis_a;ang_p;ang_a;bor_p;bor_a;sle_p;sle_a;sad_p;sad_a;exc_p;exc_a;cal_p;cal_a;hap_p;hap_a;age_c
1;37;1;3;-2;3;1;2;-3;-3;-3;2;-2;-3;0;-3;-3;-2;2;2;0;-2;3;2;1
2;33;0;5;-2;2;2;2;-1;-1;-2;3;0;-2;0;-2;-2;1;3;2;2;0;3;0;1
3;37;0;5;-2;2;2;2;-2;2;-2;2;1;-2;0;-2;-2;0;3;2;3;0;3;2;1
4;60;0;10;-2;-2;2;2;-3;-1;-3;-2;-2;-3;-2;-2;-3;-3;3;2;2;-2;3;2;1
5;32;1;3;-3;3;0;2;-2;0;-2;3;-1;-2;-1;-3;-2;0;2;2;1;0;3;1;1
6;37;1;3;-1;3;2;2;-2;1;-3;2;0;-2;0;-3;-3;-1;3;2;2;-1;3;1;1
7;40;0;5;-3;3;0;2;0;2;-2;1;-1;-2;0;-3;-3;0;2;3;0;0;2;2;1
8;35;0;3;-1;3;3;1;-2;0;-2;0;0;-1;0;-3;-2;0;3;1;1;0;2;1;1
9;39;1;5;-3;3;0;1;-2;2;1;3;-3;-3;0;-3;-3;0;3;3;1;0;3;3;1
10;28;0;3;-3;3;3;2;0;-3;-2;2;0;-2;0;-3;-2;0;3;2;0;0;2;2;0
11;28;1;5;-2;3;0;2;-2;1;-2;3;-1;-2;-2;-3;-2;-1;2;2;0;0;2;1;0
12;32;1;5;0;2;2;2;-2;1;-2;3;-3;-3;-1;-3;-1;-1;3;3;0;0;3;1;1
13;39;0;3;-2;2;-1;1;-3;-2;-3;0;-2;-3;-1;-3;-3;-2;3;2;1;-2;3;1;1
14;32;1;3;-2;3;2;2;-1;0;-1;1;0;-1;0;-3;-2;0;2;1;0;0;3;0;1
15;26;1;5;-2;3;1;3;-1;-2;-2;2;0;-2;0;-3;-3;-2;3;2;2;-1;3;2;0
16;46;1;3;-2;2;1;2;-2;-1;-3;2;1;-3;0;-3;-3;0;0;2;0;-3;3;0;1
17;44;0;3;-2;3;0;-2;-2;1;-2;2;-1;-2;0;-2;-1;0;2;2;1;1;3;1;1
18;47;1;4;-2;2;0;3;-3;-1;-3;3;-1;-2;0;-3;-3;0;0;3;0;0;3;0;1
19;27;1;5;3;-1;0;1;-1;-2;2;-1;-1;-2;-1;-3;-2;2;1;3;0;-2;3;2;0
20;43;0;5;-3;1;0;2;-2;0;-1;2;-2;-3;-2;-3;-3;-1;2;1;0;0;3;1;1
21;22;1;5;-1;2;1;1;0;-1;-1;1;-1;-3;0;-3;-3;-1;2;1;1;-1;3;1;0
22;22;0;3;-3;-3;3;1;-1;1;-3;-3;-3;-3;0;-3;-3;-3;3;3;0;-3;-3;3;0
23;23;1;5;-2;2;0;3;-2;-2;-3;3;-1;-3;0;-3;-3;1;3;3;3;0;3;1;0
24;35;0;4;-2;3;0;2;-2;-1;-3;3;-2;-3;0;-3;-3;-1;3;3;2;-2;3;3;1
25;36;1;3;-2;3;0;2;-2;-2;-2;3;-2;-2;-2;-2;-2;-2;2;2;2;-2;2;2;1
26;37;1;5;-2;1;1;1;-1;-2;-2;1;0;-2;-2;-3;-1;-1;2;1;0;0;2;1;1
27;33;0;5;-2;3;1;2;-3;-2;-1;1;-2;-3;0;-3;-3;-3;3;2;1;-2;-3;1;1
28;49;0;4;1;3;1;2;-2;-1;-2;2;-3;-3;-1;-3;-3;-1;3;3;1;1;3;2;1
29;39;0;5;-2;2;1;2;-2;-1;-2;1;-2;-2;1;-3;-3;-1;1;1;1;-1;3;2;1
